dataset,case,best_run,image_index,input_low_file,input_high_file,self_low_psnr,r_low_tv_to_input,l_low_input_gray_corr,r_low_highref_psnr,figure
BDDnight,typical,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,221,b3363496-9d8e32e7.jpg,,41.36043309632398,2.3763260179462393,0.9909994371166689,nan,/home/ipr4090/2024_hzf/Retinex_TDN/_analysis/RetinexPixelTrans/pure_low_single/steps/results/figures/bddnight_typical_index_221.png
BDDnight,worst_recon,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,136,b2860d72-0b43e851.jpg,,32.4578113730596,1.0523385291668839,0.9865660515423955,nan,/home/ipr4090/2024_hzf/Retinex_TDN/_analysis/RetinexPixelTrans/pure_low_single/steps/results/figures/bddnight_worst_recon_index_136.png
BDDnight,worst_noise,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,200,b3121071-195ffbf7.jpg,,47.80869132429687,14.096657291746135,0.9858488062135935,nan,/home/ipr4090/2024_hzf/Retinex_TDN/_analysis/RetinexPixelTrans/pure_low_single/steps/results/figures/bddnight_worst_noise_index_200.png
BDDnight,worst_l_leakage,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,198,b30ba07c-6692a0e3.jpg,,43.69243479273983,3.0302011735024066,0.9973332973545582,nan,/home/ipr4090/2024_hzf/Retinex_TDN/_analysis/RetinexPixelTrans/pure_low_single/steps/results/figures/bddnight_worst_l_leakage_index_198.png
LOLv2,typical,LOLv2_1.0r_0.05anchorv2_0.1bdsp_0.1smv2_20260724-080743,22,low00712.png,low00712.png,41.28399082257981,5.381084744113509,0.9725211644553861,20.907429722604505,/home/ipr4090/2024_hzf/Retinex_TDN/_analysis/RetinexPixelTrans/pure_low_single/steps/results/figures/lolv2_typical_index_22.png
LOLv2,worst_recon,LOLv2_1.0r_0.05anchorv2_0.1bdsp_0.1smv2_20260724-080743,70,low00760.png,low00760.png,31.940013350650098,7.574854148383429,0.854406570459915,12.98867593503369,/home/ipr4090/2024_hzf/Retinex_TDN/_analysis/RetinexPixelTrans/pure_low_single/steps/results/figures/lolv2_worst_recon_index_70.png
LOLv2,worst_noise,LOLv2_1.0r_0.05anchorv2_0.1bdsp_0.1smv2_20260724-080743,98,low00788.png,low00788.png,45.75965791084013,21.38420084517621,0.7980452355057512,15.46617374219906,/home/ipr4090/2024_hzf/Retinex_TDN/_analysis/RetinexPixelTrans/pure_low_single/steps/results/figures/lolv2_worst_noise_index_98.png
LOLv2,worst_l_leakage,LOLv2_1.0r_0.05anchorv2_0.1bdsp_0.1smv2_20260724-080743,21,low00711.png,low00711.png,40.308374445743766,6.211361263124622,0.9874416580870732,17.34936434499706,/home/ipr4090/2024_hzf/Retinex_TDN/_analysis/RetinexPixelTrans/pure_low_single/steps/results/figures/lolv2_worst_l_leakage_index_21.png
LOLv2,worst_highref,LOLv2_1.0r_0.05anchorv2_0.1bdsp_0.1smv2_20260724-080743,82,low00772.png,low00772.png,39.252421512102785,7.311925269719176,0.8235943220965376,10.822550684282014,/home/ipr4090/2024_hzf/Retinex_TDN/_analysis/RetinexPixelTrans/pure_low_single/steps/results/figures/lolv2_worst_highref_index_82.png
