case,best_run,image_index,input_low_file,input_high_file,r_low_highref_psnr,r_consistency_psnr,overbright,figure
typical_highref,LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.1er_0.6smv1_20260720-020824,99,low00789.png,low00789.png,18.050915914236647,19.606183493064442,0.5128208333333333,/home/ipr4090/2024_hzf/Retinex_TDN/_analysis/RetinexPixelTrans/paired/steps/results/figures/typical_highref_index_99.png
worst_highref,LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.1er_0.6smv1_20260720-020824,73,low00763.png,low00763.png,12.103824168559797,19.973496244805386,0.9953958333333334,/home/ipr4090/2024_hzf/Retinex_TDN/_analysis/RetinexPixelTrans/paired/steps/results/figures/worst_highref_index_73.png
worst_consistency,LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.1er_0.6smv1_20260720-020824,36,low00726.png,low00726.png,13.266675829554682,14.30553942625426,0.9847208333333334,/home/ipr4090/2024_hzf/Retinex_TDN/_analysis/RetinexPixelTrans/paired/steps/results/figures/worst_consistency_index_36.png
worst_overbright,LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.1er_0.6smv1_20260720-020824,73,low00763.png,low00763.png,12.103824168559797,19.973496244805386,0.9953958333333334,/home/ipr4090/2024_hzf/Retinex_TDN/_analysis/RetinexPixelTrans/paired/steps/results/figures/worst_overbright_index_73.png
