dataset,case,best_run,image_index,input_low_file,input_high_file,self_low_psnr,r_low_tv_to_input,l_low_input_gray_corr,r_low_highref_psnr,figure
BDDnight,typical,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,221,b3363496-9d8e32e7.jpg,,41.36043309632398,2.3763260179462393,0.9909994371166689,nan,/home/ipr4090/2024_hzf/Retinex_TDN/_analysis/RetinexPixelTrans/pure_low_single/steps/results/BDDnight/figures/bddnight_typical_index_221.png
BDDnight,worst_recon,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,136,b2860d72-0b43e851.jpg,,32.4578113730596,1.0523385291668839,0.9865660515423955,nan,/home/ipr4090/2024_hzf/Retinex_TDN/_analysis/RetinexPixelTrans/pure_low_single/steps/results/BDDnight/figures/bddnight_worst_recon_index_136.png
BDDnight,worst_noise,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,200,b3121071-195ffbf7.jpg,,47.80869132429687,14.096657291746135,0.9858488062135935,nan,/home/ipr4090/2024_hzf/Retinex_TDN/_analysis/RetinexPixelTrans/pure_low_single/steps/results/BDDnight/figures/bddnight_worst_noise_index_200.png
BDDnight,worst_l_leakage,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,198,b30ba07c-6692a0e3.jpg,,43.69243479273983,3.0302011735024066,0.9973332973545582,nan,/home/ipr4090/2024_hzf/Retinex_TDN/_analysis/RetinexPixelTrans/pure_low_single/steps/results/BDDnight/figures/bddnight_worst_l_leakage_index_198.png
